ServerTime,JST,Open,High,Low,Close
2025.01.01 03:00:00,2025.01.01 10:00:00,129,130.0,128.0,129.0
2025.01.01 07:00:00,2025.01.01 14:00:00,129,130.0,128.0,129.125
2025.01.02 03:00:00,2025.01.02 10:00:00,129,130.125,127.875,129.0
2025.01.02 07:00:00,2025.01.02 14:00:00,129,130.125,127.875,129.125
2025.01.03 03:00:00,2025.01.03 10:00:00,129,130.25,127.75,129.0
2025.01.03 07:00:00,2025.01.03 14:00:00,129,130.25,127.75,129.125
2025.01.04 03:00:00,2025.01.04 10:00:00,129,130.375,127.625,129.0
2025.01.04 07:00:00,2025.01.04 14:00:00,129,130.375,127.625,129.125
2025.01.05 03:00:00,2025.01.05 10:00:00,129,130.5,127.5,129.0
2025.01.05 07:00:00,2025.01.05 14:00:00,129,130.5,127.5,129.125
2025.01.06 03:00:00,2025.01.06 10:00:00,129,130.625,127.375,129.0
2025.01.06 07:00:00,2025.01.06 14:00:00,129,130.625,127.375,129.125
2025.01.07 03:00:00,2025.01.07 10:00:00,129,130.75,127.25,129.0
2025.01.07 07:00:00,2025.01.07 14:00:00,129,130.75,127.25,129.125
2025.01.08 03:00:00,2025.01.08 10:00:00,129,130.875,128.0,129.0
2025.01.08 07:00:00,2025.01.08 14:00:00,129,130.875,128.0,129.125
2025.01.09 03:00:00,2025.01.09 10:00:00,129,131.0,127.875,129.0
2025.01.09 07:00:00,2025.01.09 14:00:00,129,131.0,127.875,129.125
2025.01.10 03:00:00,2025.01.10 10:00:00,129,131.125,127.75,129.0
2025.01.10 07:00:00,2025.01.10 14:00:00,129,131.125,127.75,129.125
2025.01.11 03:00:00,2025.01.11 10:00:00,129,131.25,127.625,129.0
2025.01.11 07:00:00,2025.01.11 14:00:00,129,131.25,127.625,129.125
2025.01.12 03:00:00,2025.01.12 10:00:00,129,130.0,127.5,129.0
2025.01.12 07:00:00,2025.01.12 14:00:00,129,130.0,127.5,129.125
2025.01.13 03:00:00,2025.01.13 10:00:00,129,130.125,127.375,129.0
2025.01.13 07:00:00,2025.01.13 14:00:00,129,130.125,127.375,129.125
2025.01.14 03:00:00,2025.01.14 10:00:00,129,130.25,127.25,129.0
2025.01.14 07:00:00,2025.01.14 14:00:00,129,130.25,127.25,129.125
2025.01.15 03:00:00,2025.01.15 10:00:00,129,130.375,128.0,129.0
2025.01.15 07:00:00,2025.01.15 14:00:00,129,130.375,128.0,129.125
2025.01.16 03:00:00,2025.01.16 10:00:00,129,130.5,127.875,129.0
2025.01.16 07:00:00,2025.01.16 14:00:00,129,130.5,127.875,129.125
2025.01.17 03:00:00,2025.01.17 10:00:00,129,130.625,127.75,129.0
2025.01.17 07:00:00,2025.01.17 14:00:00,129,130.625,127.75,129.125
2025.01.18 03:00:00,2025.01.18 10:00:00,129,130.75,127.625,129.0
2025.01.18 07:00:00,2025.01.18 14:00:00,129,130.75,127.625,129.125
2025.01.19 03:00:00,2025.01.19 10:00:00,129,130.875,127.5,129.0
2025.01.19 07:00:00,2025.01.19 14:00:00,129,130.875,127.5,129.125
2025.01.20 03:00:00,2025.01.20 10:00:00,129,131.0,127.375,129.0
2025.01.20 07:00:00,2025.01.20 14:00:00,129,131.0,127.375,129.125
2025.01.21 03:00:00,2025.01.21 10:00:00,129,131.125,127.25,129.0
2025.01.21 07:00:00,2025.01.21 14:00:00,129,131.125,127.25,129.125
2025.01.22 03:00:00,2025.01.22 10:00:00,129,131.25,128.0,129.0
2025.01.22 07:00:00,2025.01.22 14:00:00,129,131.25,128.0,129.125
2025.01.23 03:00:00,2025.01.23 10:00:00,129,130.0,127.875,129.0
2025.01.23 07:00:00,2025.01.23 14:00:00,129,130.0,127.875,129.125
2025.01.24 03:00:00,2025.01.24 10:00:00,129,130.125,127.75,129.0
2025.01.24 07:00:00,2025.01.24 14:00:00,129,130.125,127.75,129.125
2025.01.25 03:00:00,2025.01.25 10:00:00,129,130.25,127.625,129.0
2025.01.25 07:00:00,2025.01.25 14:00:00,129,130.25,127.625,129.125
2025.01.26 03:00:00,2025.01.26 10:00:00,129,130.375,127.5,129.0
2025.01.26 07:00:00,2025.01.26 14:00:00,129,130.375,127.5,129.125
2025.01.27 03:00:00,2025.01.27 10:00:00,129,130.5,127.375,129.0
2025.01.27 07:00:00,2025.01.27 14:00:00,129,130.5,127.375,129.125
2025.01.28 03:00:00,2025.01.28 10:00:00,129,130.625,127.25,129.0
2025.01.28 07:00:00,2025.01.28 14:00:00,129,130.625,127.25,129.125
2025.01.29 03:00:00,2025.01.29 10:00:00,129,130.75,128.0,129.0
2025.01.29 07:00:00,2025.01.29 14:00:00,129,130.75,128.0,129.125
2025.01.30 03:00:00,2025.01.30 10:00:00,129,130.875,127.875,129.0
2025.01.30 07:00:00,2025.01.30 14:00:00,129,130.875,127.875,129.125
2025.01.31 03:00:00,2025.01.31 10:00:00,129,131.0,127.75,129.0
2025.01.31 07:00:00,2025.01.31 14:00:00,129,131.0,127.75,129.125
2025.02.01 03:00:00,2025.02.01 10:00:00,129,131.125,127.625,129.0
2025.02.01 07:00:00,2025.02.01 14:00:00,129,131.125,127.625,129.125
2025.02.02 03:00:00,2025.02.02 10:00:00,129,131.25,127.5,129.0
2025.02.02 07:00:00,2025.02.02 14:00:00,129,131.25,127.5,129.125
2025.02.03 03:00:00,2025.02.03 10:00:00,129,130.0,127.375,129.0
2025.02.03 07:00:00,2025.02.03 14:00:00,129,130.0,127.375,129.125
2025.02.04 03:00:00,2025.02.04 10:00:00,129,130.125,127.25,129.0
2025.02.04 07:00:00,2025.02.04 14:00:00,129,130.125,127.25,129.125
2025.02.05 03:00:00,2025.02.05 10:00:00,129,130.25,128.0,129.0
2025.02.05 07:00:00,2025.02.05 14:00:00,129,130.25,128.0,129.125
2025.02.06 03:00:00,2025.02.06 10:00:00,129,130.375,127.875,129.0
2025.02.06 07:00:00,2025.02.06 14:00:00,129,130.375,127.875,129.125
2025.02.07 03:00:00,2025.02.07 10:00:00,129,130.5,127.75,129.0
2025.02.07 07:00:00,2025.02.07 14:00:00,129,130.5,127.75,129.125
2025.02.08 03:00:00,2025.02.08 10:00:00,129,130.625,127.625,129.0
2025.02.08 07:00:00,2025.02.08 14:00:00,129,130.625,127.625,129.125
2025.02.09 03:00:00,2025.02.09 10:00:00,129,130.75,127.5,129.0
2025.02.09 07:00:00,2025.02.09 14:00:00,129,130.75,127.5,129.125
2025.02.10 03:00:00,2025.02.10 10:00:00,129,130.875,127.375,129.0
2025.02.10 07:00:00,2025.02.10 14:00:00,129,130.875,127.375,129.125
2025.02.11 03:00:00,2025.02.11 10:00:00,129,131.0,127.25,129.0
2025.02.11 07:00:00,2025.02.11 14:00:00,129,131.0,127.25,129.125
2025.02.12 03:00:00,2025.02.12 10:00:00,129,131.125,128.0,129.0
2025.02.12 07:00:00,2025.02.12 14:00:00,129,131.125,128.0,129.125
2025.02.13 03:00:00,2025.02.13 10:00:00,129,131.25,127.875,129.0
2025.02.13 07:00:00,2025.02.13 14:00:00,129,131.25,127.875,129.125
2025.02.14 03:00:00,2025.02.14 10:00:00,129,130.0,127.75,129.0
2025.02.14 07:00:00,2025.02.14 14:00:00,129,130.0,127.75,129.125
2025.02.15 03:00:00,2025.02.15 10:00:00,129,130.125,127.625,129.0
2025.02.15 07:00:00,2025.02.15 14:00:00,129,130.125,127.625,129.125
2025.02.16 03:00:00,2025.02.16 10:00:00,129,130.25,127.5,129.0
2025.02.16 07:00:00,2025.02.16 14:00:00,129,130.25,127.5,129.125
2025.02.17 03:00:00,2025.02.17 10:00:00,129,130.375,127.375,129.0
2025.02.17 07:00:00,2025.02.17 14:00:00,129,130.375,127.375,129.125
2025.02.18 03:00:00,2025.02.18 10:00:00,129,130.5,127.25,129.0
2025.02.18 07:00:00,2025.02.18 14:00:00,129,130.5,127.25,129.125
2025.02.19 03:00:00,2025.02.19 10:00:00,129,130.625,128.0,129.0
2025.02.19 07:00:00,2025.02.19 14:00:00,129,130.625,128.0,129.125
2025.02.20 03:00:00,2025.02.20 10:00:00,129,130.75,127.875,129.0
2025.02.20 07:00:00,2025.02.20 14:00:00,129,130.75,127.875,129.125
2025.02.21 03:00:00,2025.02.21 10:00:00,129,130.875,127.75,129.0
2025.02.21 07:00:00,2025.02.21 14:00:00,129,130.875,127.75,129.125
2025.02.22 03:00:00,2025.02.22 10:00:00,129,131.0,127.625,129.0
2025.02.22 07:00:00,2025.02.22 14:00:00,129,131.0,127.625,129.125
2025.02.23 03:00:00,2025.02.23 10:00:00,129,131.125,127.5,129.0
2025.02.23 07:00:00,2025.02.23 14:00:00,129,131.125,127.5,129.125
2025.02.24 03:00:00,2025.02.24 10:00:00,129,131.25,127.375,129.0
2025.02.24 07:00:00,2025.02.24 14:00:00,129,131.25,127.375,129.125
2025.02.25 03:00:00,2025.02.25 10:00:00,129,130.0,127.25,129.0
2025.02.25 07:00:00,2025.02.25 14:00:00,129,130.0,127.25,129.125
2025.02.26 03:00:00,2025.02.26 10:00:00,129,130.125,128.0,129.0
2025.02.26 07:00:00,2025.02.26 14:00:00,129,130.125,128.0,129.125
2025.02.27 03:00:00,2025.02.27 10:00:00,129,130.25,127.875,129.0
2025.02.27 07:00:00,2025.02.27 14:00:00,129,130.25,127.875,129.125
2025.02.28 03:00:00,2025.02.28 10:00:00,129,130.375,127.75,129.0
2025.02.28 07:00:00,2025.02.28 14:00:00,129,130.375,127.75,129.125
2025.03.01 03:00:00,2025.03.01 10:00:00,129,130.5,127.625,129.0
2025.03.01 07:00:00,2025.03.01 14:00:00,129,130.5,127.625,129.125
2025.03.02 03:00:00,2025.03.02 10:00:00,129,130.625,127.5,129.0
2025.03.02 07:00:00,2025.03.02 14:00:00,129,130.625,127.5,129.125
2025.03.03 03:00:00,2025.03.03 10:00:00,129,130.75,127.375,129.0
2025.03.03 07:00:00,2025.03.03 14:00:00,129,130.75,127.375,129.125
2025.03.04 03:00:00,2025.03.04 10:00:00,129,130.875,127.25,129.0
2025.03.04 07:00:00,2025.03.04 14:00:00,129,130.875,127.25,129.125
2025.03.05 03:00:00,2025.03.05 10:00:00,129,131.0,128.0,129.0
2025.03.05 07:00:00,2025.03.05 14:00:00,129,131.0,128.0,129.125
2025.03.06 03:00:00,2025.03.06 10:00:00,129,131.125,127.875,129.0
2025.03.06 07:00:00,2025.03.06 14:00:00,129,131.125,127.875,129.125
2025.03.07 03:00:00,2025.03.07 10:00:00,129,131.25,127.75,129.0
2025.03.07 07:00:00,2025.03.07 14:00:00,129,131.25,127.75,129.125
2025.03.08 03:00:00,2025.03.08 10:00:00,129,130.0,127.625,129.0
2025.03.08 07:00:00,2025.03.08 14:00:00,129,130.0,127.625,129.125
2025.03.09 03:00:00,2025.03.09 10:00:00,129,130.125,127.5,129.0
2025.03.09 07:00:00,2025.03.09 14:00:00,129,130.125,127.5,129.125
2025.03.10 03:00:00,2025.03.10 10:00:00,129,130.25,127.375,129.0
2025.03.10 07:00:00,2025.03.10 14:00:00,129,130.25,127.375,129.125
2025.03.11 03:00:00,2025.03.11 10:00:00,129,130.375,127.25,129.0
2025.03.11 07:00:00,2025.03.11 14:00:00,129,130.375,127.25,129.125
2025.03.12 03:00:00,2025.03.12 10:00:00,129,130.5,128.0,129.0
2025.03.12 07:00:00,2025.03.12 14:00:00,129,130.5,128.0,129.125
2025.03.13 03:00:00,2025.03.13 10:00:00,129,130.625,127.875,129.0
2025.03.13 07:00:00,2025.03.13 14:00:00,129,130.625,127.875,129.125
2025.03.14 03:00:00,2025.03.14 10:00:00,129,130.75,127.75,129.0
2025.03.14 07:00:00,2025.03.14 14:00:00,129,130.75,127.75,129.125
2025.03.15 03:00:00,2025.03.15 10:00:00,129,130.875,127.625,129.0
2025.03.15 07:00:00,2025.03.15 14:00:00,129,130.875,127.625,129.125
2025.03.16 03:00:00,2025.03.16 10:00:00,129,131.0,127.5,129.0
2025.03.16 07:00:00,2025.03.16 14:00:00,129,131.0,127.5,129.125
2025.03.17 03:00:00,2025.03.17 10:00:00,129,131.125,127.375,129.0
2025.03.17 07:00:00,2025.03.17 14:00:00,129,131.125,127.375,129.125
2025.03.18 03:00:00,2025.03.18 10:00:00,129,131.25,127.25,129.0
2025.03.18 07:00:00,2025.03.18 14:00:00,129,131.25,127.25,129.125
2025.03.19 03:00:00,2025.03.19 10:00:00,129,130.0,128.0,129.0
2025.03.19 07:00:00,2025.03.19 14:00:00,129,130.0,128.0,129.125
2025.03.20 03:00:00,2025.03.20 10:00:00,129,130.125,127.875,129.0
