Pair,Method,Period,Direction,N,LondonMean,LondonMedian,ReversalRate,ContinuationRate,LondonNeutralRate
USDJPY,Primary,Historical,UP,873,0.0750286368843234,0.10000000000047748,0.4936998854524628,0.5017182130584192,0.004581901489117984
USDJPY,Primary,Historical,DOWN,922,-0.3708242950108595,0.3500000000002501,0.5043383947939263,0.4945770065075922,0.0010845986984815619
USDJPY,Primary,Historical,NEUTRAL,5,3.8999999999998636,5.100000000000193,,,0.0
USDJPY,Robustness,Historical,UP,920,-0.09576086956518652,0.30000000000001137,0.4934782608695652,0.5021739130434782,0.004347826086956522
USDJPY,Robustness,Historical,DOWN,878,-0.1830296127562933,0.30000000000001137,0.5056947608200456,0.49316628701594534,0.0011389521640091116
USDJPY,Robustness,Historical,NEUTRAL,2,-4.050000000000864,-4.050000000000864,,,0.0
EURJPY,Primary,Historical,UP,927,-0.7927723840345449,0.30000000000143245,0.49730312837108953,0.5016181229773463,0.0010787486515641855
EURJPY,Primary,Historical,DOWN,868,-0.48778801843317415,-0.40000000000048885,0.49539170506912444,0.5046082949308756,0.0
EURJPY,Primary,Historical,NEUTRAL,5,6.359999999999104,-1.300000000000523,,,0.0
EURJPY,Robustness,Historical,UP,919,-0.5801958650707237,0.19999999999953388,0.49836779107725787,0.500544069640914,0.001088139281828074
EURJPY,Robustness,Historical,DOWN,878,-0.6908883826879565,-0.49999999999954525,0.49544419134396356,0.5045558086560364,0.0
EURJPY,Robustness,Historical,NEUTRAL,3,4.433333333332712,16.499999999999204,,,0.0
GBPJPY,Primary,Historical,UP,920,0.48586956521742986,-0.19999999999953388,0.5010869565217392,0.4945652173913043,0.004347826086956522
GBPJPY,Primary,Historical,DOWN,879,0.16837315130831665,0.49999999999954525,0.5073947667804323,0.49146757679180886,0.0011376564277588168
GBPJPY,Primary,Historical,NEUTRAL,1,-7.899999999997931,-7.899999999997931,,,0.0
GBPJPY,Robustness,Historical,UP,919,-0.9847660500543663,-0.7999999999981355,0.5092491838955386,0.48639825897714906,0.004352557127312296
GBPJPY,Robustness,Historical,DOWN,879,1.700227531285564,1.300000000000523,0.515358361774744,0.48350398179749715,0.0011376564277588168
GBPJPY,Robustness,Historical,NEUTRAL,2,-1.2000000000000455,-1.2000000000000455,,,0.0
AUDJPY,Primary,Historical,UP,939,-0.625559105431295,0.19999999999953388,0.4898828541001065,0.5069222577209798,0.003194888178913738
AUDJPY,Primary,Historical,DOWN,857,0.42940490081681276,1.099999999999568,0.5215869311551925,0.47724620770128356,0.0011668611435239206
AUDJPY,Primary,Historical,NEUTRAL,3,-11.733333333333462,-10.699999999999932,,,0.0
AUDJPY,Robustness,Historical,UP,934,-0.8561027837258951,0.15000000000000568,0.4925053533190578,0.5042826552462527,0.0032119914346895075
AUDJPY,Robustness,Historical,DOWN,862,0.6625290023201962,1.300000000000523,0.5232018561484919,0.4756380510440835,0.001160092807424594
AUDJPY,Robustness,Historical,NEUTRAL,3,-8.70000000000033,-9.199999999999875,,,0.0
EURAUD,Primary,Historical,UP,880,-1.3360227272727117,-0.7500000000004725,0.5125,0.48522727272727273,0.0022727272727272726
EURAUD,Primary,Historical,DOWN,919,0.4859630032643734,1.7999999999984695,0.5103373231773667,0.48748639825897716,0.002176278563656148
EURAUD,Primary,Historical,NEUTRAL,1,10.600000000000609,10.600000000000609,,,0.0
EURAUD,Robustness,Historical,UP,866,-1.0855658198614362,-0.40000000000040004,0.5034642032332564,0.4953810623556582,0.0011547344110854503
EURAUD,Robustness,Historical,DOWN,931,0.2555316863587298,0.2999999999997449,0.5016111707841031,0.49516648764769067,0.00322234156820623
EURAUD,Robustness,Historical,NEUTRAL,3,-5.433333333333401,-10.700000000001264,,,0.0
GBPAUD,Primary,Historical,UP,863,0.09536500579373974,-1.80000000000069,0.5214368482039398,0.47856315179606024,0.0
GBPAUD,Primary,Historical,DOWN,928,0.8719827586206932,-1.0500000000002174,0.49030172413793105,0.5053879310344828,0.004310344827586207
GBPAUD,Primary,Historical,NEUTRAL,3,20.33333333333331,-14.299999999998203,,,0.0
GBPAUD,Robustness,Historical,UP,836,-1.3340909090909159,-2.700000000001035,0.5311004784688995,0.4688995215311005,0.0
GBPAUD,Robustness,Historical,DOWN,954,2.162368972746339,0.0,0.4968553459119497,0.4989517819706499,0.0041928721174004195
GBPAUD,Robustness,Historical,NEUTRAL,4,1.2249999999996986,4.099999999999104,,,0.0
USDJPY,Primary,RecentA,UP,270,-0.22222222222206747,0.30000000000001137,0.4888888888888889,0.5074074074074074,0.003703703703703704
USDJPY,Primary,RecentA,DOWN,244,-0.34426229508192785,2.4999999999991473,0.5245901639344263,0.47540983606557374,0.0
USDJPY,Primary,RecentA,NEUTRAL,3,5.600000000000212,0.39999999999906777,,,0.0
USDJPY,Robustness,RecentA,UP,279,0.9706093189965527,1.100000000000989,0.4767025089605735,0.5197132616487455,0.0035842293906810036
USDJPY,Robustness,RecentA,DOWN,238,-1.672268907562967,0.4499999999993065,0.5126050420168067,0.48739495798319327,0.0
