Period,Candidate,Trades,TotalR,PF,MaxDDR,WorstDayR,WorstWeekR
IS,C0_BASELINE,9756,768.488273412000,1.372170780222,27.540955530000,-12.000000000000,-14.455835720000
IS,C1_MINUS_CHINA4,8137,651.764662313000,1.370203328797,21.862873790000,-8.000000000000,-8.566212651000
IS,DELTA_C1_MINUS_C0,-1619,-116.723611099000,-0.001967451425,-5.678081740000,4.000000000000,5.889623069000
OOS1,C0_BASELINE,5547,601.960584733000,1.489974882080,22.196975812000,-10.880000000000,-12.824401656000
OOS1,C1_MINUS_CHINA4,4628,511.942195856000,1.474720559609,25.567098862000,-7.000000000000,-9.980679433000
OOS1,DELTA_C1_MINUS_C0,-919,-90.018388877000,-0.015254322471,3.370123050000,3.880000000000,2.843722223000
OOS2,C0_BASELINE,995,19.818791349000,1.095529248887,18.954206168000,-4.579584304000,-5.397048173000
OOS2,C1_MINUS_CHINA4,834,18.594624678000,1.105966356608,16.391483949000,-4.579584304000,-4.796080696000
OOS2,DELTA_C1_MINUS_C0,-161,-1.224166671000,0.010437107720,-2.562722219000,0.000000000000,0.600967477000
OOS_COMBINED,C0_BASELINE,6542,621.779376082000,1.432988857333,22.196975812000,-10.880000000000,-12.824401656000
OOS_COMBINED,C1_MINUS_CHINA4,5462,530.536820534000,1.423114704189,25.567098862000,-7.000000000000,-9.980679433000
OOS_COMBINED,DELTA_C1_MINUS_C0,-1080,-91.242555548000,-0.009874153144,3.370123050000,3.880000000000,2.843722223000
ALL,C0_BASELINE,16298,1390.267649494000,1.397117465513,27.540955530000,-12.000000000000,-14.455835720000
ALL,C1_MINUS_CHINA4,13599,1182.301482847000,1.392212283663,25.567098862000,-8.000000000000,-9.980679433000
ALL,DELTA_C1_MINUS_C0,-2699,-207.966166647000,-0.004905181850,-1.973856668000,4.000000000000,4.475156287000
